image_name,hue,saturation,value,body_proportion_1,body_proportion_2,body_proportion_3
1191.jpg,10.541015625,78.123046875,208.55859375,0.55524373,2.126098,0.64298606
1195.jpg,10.653301886792452,86.56603773584905,172.6816037735849,0.5696379,2.2157156,0.6370896
1199.jpg,9.443686006825939,100.43003412969283,168.83617747440275,0.6461569,1.7116808,0.6074755
120.jpg,9.881606765327696,119.76532769556026,166.08033826638479,0.61613774,1.7319442,0.61875916
1203.jpg,10.885245901639344,94.64168618266979,191.23653395784544,0.56830937,1.5918194,0.6376293
1206.jpg,11.150870406189556,101.35009671179884,182.1257253384913,0.61910176,1.622894,0.6176264
1209.jpg,10.45945945945946,105.4,182.65675675675678,0.62771773,1.7693524,0.6143572
1213.jpg,11.084905660377359,108.06792452830189,192.10377358490567,0.71515673,1.5658661,0.5830371
1217.jpg,11.333333333333334,115.33074935400518,177.6485788113695,0.5707112,1.6288763,0.63665426
1222.jpg,12.344370860927153,89.85209713024283,218.11258278145695,0.56755227,1.9106989,0.63793725
1227.jpg,10.366946778711485,109.77030812324931,159.94957983193277,0.67068076,1.6407748,0.5985584
1228.jpg,10.987012987012987,89.7012987012987,178.4181818181818,0.6547503,1.2814733,0.6043208
1229.jpg,10.437888198757763,98.64285714285714,188.0310559006211,0.69703,1.185227,0.58926475
1231.jpg,10.774096385542169,104.06927710843374,153.84337349397592,0.66313255,1.6305081,0.60127497
1232.jpg,10.580645161290322,95.58064516129032,186.55197132616487,0.6336723,2.0814698,0.6121179
1237.jpg,11.216666666666667,96.30000000000001,181.28,0.5219158,1.8002481,0.6570665
1239.jpg,10.376811594202898,118.6144927536232,180.02608695652174,0.58102524,1.4076251,0.63250095
124.jpg,10.105960264900663,107.46136865342163,160.58278145695365,0.6136811,1.6655457,0.61970115
1247.jpg,10.472463768115942,109.85217391304349,195.8057971014493,0.54886156,1.5796976,0.6456355
1261.jpg,11.812631578947368,92.65473684210527,190.48,0.5034972,1.8681902,0.66511595
1264.jpg,11.045146726862301,117.26410835214446,179.30474040632052,0.67747784,1.652141,0.59613305
1268.jpg,11.486538461538462,123.95961538461539,178.20000000000002,0.5846812,1.67102,0.63104177
